item,itemLabel,elev
http://www.wikidata.org/entity/Q49049526,Mesa Prieta,8554.0
http://www.wikidata.org/entity/Q49086998,Veteado Mountain,8550.0
http://www.wikidata.org/entity/Q6430815,Kootenai Peak,8542.0
http://www.wikidata.org/entity/Q6921136,Mount Helen,8538.0
http://www.wikidata.org/entity/Q49066847,Rattlesnake Mountain,8537.0
http://www.wikidata.org/entity/Q49054569,Mount Shouplina,8531.0
http://www.wikidata.org/entity/Q7492414,Sheep Mountain,8530.0
http://www.wikidata.org/entity/Q4949586,Boulder Peak,8527.0
http://www.wikidata.org/entity/Q6924103,Mount Thompson,8527.0
http://www.wikidata.org/entity/Q7928902,Vigil Peak,8527.0
http://www.wikidata.org/entity/Q49176282,Enchantment Peak,8520.0
http://www.wikidata.org/entity/Q7235114,Potosi Mountain,8517.0
http://www.wikidata.org/entity/Q168702,ローツェ,8516.0
http://www.wikidata.org/entity/Q14679952,Augustin Peak,8514.0
http://www.wikidata.org/entity/Q7243709,Primus Peak,8508.0
http://www.wikidata.org/entity/Q5301699,Douglas Knob,8507.0
http://www.wikidata.org/entity/Q14713833,Mox Peaks,8504.0
http://www.wikidata.org/entity/Q6671496,Lone Walker Mountain,8502.0
http://www.wikidata.org/entity/Q1054706,Ceraunius Tholus,8500.0
http://www.wikidata.org/entity/Q3322181,Mount Watkins,8497.0
http://www.wikidata.org/entity/Q7149598,Paul Bunyans Cabin,8490.0
http://www.wikidata.org/entity/Q169986,マカルー,8485.0
http://www.wikidata.org/entity/Q6420007,Klawatti Peak,8485.0
http://www.wikidata.org/entity/Q49068579,Rincon Peak,8482.0
http://www.wikidata.org/entity/Q4958351,Brave Dog Mountain,8468.0
http://www.wikidata.org/entity/Q4876523,Bear Peak,8459.0
http://www.wikidata.org/entity/Q4789668,Argonaut Peak,8457.0
http://www.wikidata.org/entity/Q7114739,Owens Peak,8452.0
http://www.wikidata.org/entity/Q22072663,Crane Mountain,8451.0
http://www.wikidata.org/entity/Q49084458,Tower Mountain,8444.0
http://www.wikidata.org/entity/Q7808351,Tinkham Mountain,8442.0
http://www.wikidata.org/entity/Q49044499,Little Annapurna,8440.0
http://www.wikidata.org/entity/Q7656112,Swiftcurrent Mountain,8436.0
http://www.wikidata.org/entity/Q104875173,Point Lookout,8428.0
http://www.wikidata.org/entity/Q7959746,Wahcheechee Mountain,8418.0
http://www.wikidata.org/entity/Q39046442,Hualapai Peak,8417.0
http://www.wikidata.org/entity/Q8533557,McPartland Mountain,8413.0
http://www.wikidata.org/entity/Q8537371,Griffin Butte,8411.0
http://www.wikidata.org/entity/Q4876733,Bearhead Mountain,8406.0
http://www.wikidata.org/entity/Q3784533,Eagle Butte,8405.0
http://www.wikidata.org/entity/Q8040179,Wynn Mountain,8404.0
http://www.wikidata.org/entity/Q5922338,Howlock Mountain,8401.0
http://www.wikidata.org/entity/Q49009399,Azurite Peak,8400.0
http://www.wikidata.org/entity/Q8537913,Mount Dall,8399.0
http://www.wikidata.org/entity/Q7261437,Purple Mountain,8392.0
http://www.wikidata.org/entity/Q11237699,ローツェ・シャール峰,8383.0
http://www.wikidata.org/entity/Q7575025,Specimen Ridge,8379.0
http://www.wikidata.org/entity/Q28457417,Mount Livermore,8378.0
http://www.wikidata.org/entity/Q6921417,Mount Ingalls,8376.0
http://www.wikidata.org/entity/Q6920874,Mount Geduhn,8375.0
http://www.wikidata.org/entity/Q55584622,Corry Point,8373.0
http://www.wikidata.org/entity/Q49032226,Golden Horn,8366.0
http://www.wikidata.org/entity/Q49048625,McClellan Peak,8364.0
http://www.wikidata.org/entity/Q4905804,Big Hatchet Peak,8359.0
http://www.wikidata.org/entity/Q5328356,East Flattop Mountain,8356.0
http://www.wikidata.org/entity/Q14713898,Snowfield Peak,8351.0
http://www.wikidata.org/entity/Q4840375,Bad Marriage Mountain,8350.0
http://www.wikidata.org/entity/Q8532726,Sarcee Mountain,8350.0
http://www.wikidata.org/entity/Q5354108,Eldorado Mountain,8344.0
http://www.wikidata.org/entity/Q6726076,Mad Wolf Mountain,8341.0
http://www.wikidata.org/entity/Q14713588,Austera Peak,8339.0
http://www.wikidata.org/entity/Q6841502,Middle Mountain,8337.0
http://www.wikidata.org/entity/Q14713622,Cosho Peak,8332.0
http://www.wikidata.org/entity/Q5460338,Flora Mountain,8325.0
http://www.wikidata.org/entity/Q8527583,Mount Ireland,8325.0
http://www.wikidata.org/entity/Q18681606,Snowbank Mountain,8320.0
http://www.wikidata.org/entity/Q6806703,Medicine Grizzly Peak,8315.0
http://www.wikidata.org/entity/Q6703581,Luna Peak,8311.0
http://www.wikidata.org/entity/Q25208594,Timber Mountain,8307.0
http://www.wikidata.org/entity/Q49866694,Bryce Point,8304.0
http://www.wikidata.org/entity/Q49080381,Swamp Canyon Butte,8287.0
http://www.wikidata.org/entity/Q6800360,McClintock Peak,8285.0
http://www.wikidata.org/entity/Q14713855,Nooksack Tower,8285.0
http://www.wikidata.org/entity/Q6806743,Medicine Owl Peak,8284.0
http://www.wikidata.org/entity/Q19873735,Booker Mountain,8284.0
http://www.wikidata.org/entity/Q12763846,Cerro Nicholson,8282.0
http://www.wikidata.org/entity/Q28873560,Big Kangaroo,8280.0
http://www.wikidata.org/entity/Q8532736,Sinopah Mountain,8271.0
http://www.wikidata.org/entity/Q7158489,Peavine Peak,8269.0
http://www.wikidata.org/entity/Q5035281,Caper Peak,8268.0
http://www.wikidata.org/entity/Q8523893,Lost Corner Mountain,8265.0
http://www.wikidata.org/entity/Q7577805,Spire Point,8264.0
http://www.wikidata.org/entity/Q6921341,Mount Howard,8261.0
http://www.wikidata.org/entity/Q7753361,The Needles,8258.0
http://www.wikidata.org/entity/Q5028125,Campbell Mountain,8245.0
http://www.wikidata.org/entity/Q5523094,Garfield Peak,8244.0
http://www.wikidata.org/entity/Q8530306,Mount Haynes,8235.0
http://www.wikidata.org/entity/Q6921474,Mount Jackson,8231.0
http://www.wikidata.org/entity/Q7406557,Salvage Mountain,8225.0
http://www.wikidata.org/entity/Q65054728,Inspiration Point,8222.0
http://www.wikidata.org/entity/Q14713829,Mount Challenger,8207.0
http://www.wikidata.org/entity/Q49051784,Mount Abbe,8200.0
http://www.wikidata.org/entity/Q7382104,Russian Peak,8199.0
http://www.wikidata.org/entity/Q8537757,Gunsight Peak,8198.0
http://www.wikidata.org/entity/Q170089,チョ・オユー,8188.0
http://www.wikidata.org/entity/Q3105821,Gilbert Peak,8184.0
http://www.wikidata.org/entity/Q6922471,オバーリン山,8180.0
http://www.wikidata.org/entity/Q8030229,Wolftail Mountain,8176.0
http://www.wikidata.org/entity/Q49049963,Middle Mountain,8176.0
http://www.wikidata.org/entity/Q5172715,Corral Ridge,8174.0
http://www.wikidata.org/entity/Q22415356,Mount Barnard,8173.0
http://www.wikidata.org/entity/Q8532706,Nahsukin Mountain,8172.0
http://www.wikidata.org/entity/Q165440,ダウラギリ,8167.0
http://www.wikidata.org/entity/Q4750695,Anaconda Peak,8166.0
http://www.wikidata.org/entity/Q4781091,Appistoki Peak,8164.0
http://www.wikidata.org/entity/Q170070,マナスル,8163.0
http://www.wikidata.org/entity/Q1201788,マザマ山,8159.0
http://www.wikidata.org/entity/Q7263273,Pyramid Peak,8159.0
http://www.wikidata.org/entity/Q14713679,Horsemans Pack,8156.0
http://www.wikidata.org/entity/Q7339876,Roaring Mountain,8152.0
http://www.wikidata.org/entity/Q6924090,テラー山 (北アメリカ大陸),8151.0
http://www.wikidata.org/entity/Q14684535,グリーンマウンテン,8148.0
http://www.wikidata.org/entity/Q5160458,Conger Mountain,8144.0
http://www.wikidata.org/entity/Q5325213,Eagle Ribs Mountain,8140.0
http://www.wikidata.org/entity/Q49071445,Sardine Peak,8133.0
http://www.wikidata.org/entity/Q49022840,Crater Mountain,8132.0
http://www.wikidata.org/entity/Q1858241,Casper Mountain,8130.0
http://www.wikidata.org/entity/Q14713627,Crooked Thumb Peak,8129.0
http://www.wikidata.org/entity/Q130736,ナンガ・パルバット,8126.0
http://www.wikidata.org/entity/Q5692037,ハートマウンテン,8123.0
http://www.wikidata.org/entity/Q4693089,Agnes Mountain,8119.0
http://www.wikidata.org/entity/Q6922392,Mount Nesselrode,8117.0
http://www.wikidata.org/entity/Q28604195,Mount Conard,8117.0
http://www.wikidata.org/entity/Q7305919,Redhorn Peak,8113.0
http://www.wikidata.org/entity/Q20871398,Crystal Peak,8107.0
http://www.wikidata.org/entity/Q955807,Isanotski Peaks,8106.0
http://www.wikidata.org/entity/Q955807,Isanotski Peaks,8106.0
http://www.wikidata.org/entity/Q5194883,Curly Bear Mountain,8099.0
http://www.wikidata.org/entity/Q6921851,リン山,8098.0
http://www.wikidata.org/entity/Q4976230,Brown Peak,8095.0
http://www.wikidata.org/entity/Q5595904,Granite Peak,8094.0
http://www.wikidata.org/entity/Q16466024,アンナプルナI峰,8091.0
http://www.wikidata.org/entity/Q39074795,Vinegar Hill,8084.0
http://www.wikidata.org/entity/Q187138,ガッシャーブルムI峰,8080.0
http://www.wikidata.org/entity/Q49022207,Corteo Peak,8080.0
http://www.wikidata.org/entity/Q49052914,Mount Hardy,8080.0
http://www.wikidata.org/entity/Q49014601,Boat Mesa,8074.0
http://www.wikidata.org/entity/Q3141668,Hozomeen Mountain,8071.0
http://www.wikidata.org/entity/Q5350921,El Capitan,8064.0
http://www.wikidata.org/entity/Q6921409,Mount Ina Coolbrith,8064.0
http://www.wikidata.org/entity/Q180996,ブロード・ピーク,8051.0
http://www.wikidata.org/entity/Q49014482,Blue Mountain Plateau,8048.0
http://www.wikidata.org/entity/Q8554430,サンセット・クレーター,8042.0
http://www.wikidata.org/entity/Q49082179,The Blues,8042.0
http://www.wikidata.org/entity/Q5125039,Clagett Butte,8041.0
http://www.wikidata.org/entity/Q7974334,Waterman Mountain,8041.0
http://www.wikidata.org/entity/Q39050234,Gearhart Mountain,8041.0
http://www.wikidata.org/entity/Q7161387,Pelican Butte,8037.0
http://www.wikidata.org/entity/Q186853,ガッシャーブルムII峰,8034.0
http://www.wikidata.org/entity/Q105124,シシャパンマ,8027.0
http://www.wikidata.org/entity/Q49044071,Lewis Peak,8025.0
http://www.wikidata.org/entity/Q49031381,Gibert Mountain,8023.0
http://www.wikidata.org/entity/Q7461593,Shaheeya Peak,8022.0
http://www.wikidata.org/entity/Q4921463,Black Pine Cone,8020.0
http://www.wikidata.org/entity/Q29633993,ドナー峰,8019.0
http://www.wikidata.org/entity/Q39074796,Lookout Mountain,8018.0
http://www.wikidata.org/entity/Q5494100,Frazier Mountain,8017.0
http://www.wikidata.org/entity/Q49035801,Heavy Runner Mountain,8016.0
http://www.wikidata.org/entity/Q14684992,Mount McConnel,8012.0
http://www.wikidata.org/entity/Q48780363,Warner Peak,8012.0
http://www.wikidata.org/entity/Q5299682,Double Crater,8007.0
http://www.wikidata.org/entity/Q4866805,Bashful Peak,8005.0
