item,itemLabel,elev
http://www.wikidata.org/entity/Q49054192,Mount Powell,13364.0
http://www.wikidata.org/entity/Q14714702,Downs Mountain,13349.0
http://www.wikidata.org/entity/Q14684986,Mount Herard,13345.0
http://www.wikidata.org/entity/Q14685162,West Buffalo Peak,13332.0
http://www.wikidata.org/entity/Q6919356,Mount Alice,13315.0
http://www.wikidata.org/entity/Q8527843,James Peak,13314.0
http://www.wikidata.org/entity/Q49026851,East Buffalo Peak,13310.0
http://www.wikidata.org/entity/Q7637850,Summit Peak,13307.0
http://www.wikidata.org/entity/Q14684958,Middle Peak,13306.0
http://www.wikidata.org/entity/Q14684448,Dolores Peak,13296.0
http://www.wikidata.org/entity/Q14684295,Antora Peak,13275.0
http://www.wikidata.org/entity/Q16893648,Mount Koven (Wyoming),13271.0
http://www.wikidata.org/entity/Q16901550,The Sphinx,13264.0
http://www.wikidata.org/entity/Q39046162,Deerhorn Mountain,13264.0
http://www.wikidata.org/entity/Q14684563,Henry Mountain,13261.0
http://www.wikidata.org/entity/Q49075822,South Guard,13238.8
http://www.wikidata.org/entity/Q5746077,Hesperus Mountain,13237.0
http://www.wikidata.org/entity/Q8525646,Lavender Peak (Colorado),13233.0
http://www.wikidata.org/entity/Q14684973,Mount Audubon,13229.0
http://www.wikidata.org/entity/Q14684652,Jacque Peak,13211.0
http://www.wikidata.org/entity/Q16827917,American Legion Peak,13211.0
http://www.wikidata.org/entity/Q14684306,Bennett Peak,13209.0
http://www.wikidata.org/entity/Q16847533,Brown Cliffs North,13198.0
http://www.wikidata.org/entity/Q8023948,Wind River Peak,13197.0
http://www.wikidata.org/entity/Q7376366,Ruby Peak,13194.0
http://www.wikidata.org/entity/Q16902190,Twin Peaks,13191.0
http://www.wikidata.org/entity/Q49043973,Lenawee Mountain,13186.0
http://www.wikidata.org/entity/Q5159490,Conejos Peak,13179.0
http://www.wikidata.org/entity/Q5135676,Cloud Peak,13167.0
http://www.wikidata.org/entity/Q14711841,Mount Powell,13165.0
http://www.wikidata.org/entity/Q7857997,Twilight Peak,13163.0
http://www.wikidata.org/entity/Q16900403,Split Mountain,13161.0
http://www.wikidata.org/entity/Q15213747,Desolation Peak,13161.0
http://www.wikidata.org/entity/Q940908,Francs Peak,13158.0
http://www.wikidata.org/entity/Q14685104,South River Peak,13154.0
http://www.wikidata.org/entity/Q6924474,Mount Walter,13141.0
http://www.wikidata.org/entity/Q6919648,Mount Baxter,13141.0
http://www.wikidata.org/entity/Q7690099,Taylor Peak,13136.0
http://www.wikidata.org/entity/Q39070604,Diamond Peak,13136.0
http://www.wikidata.org/entity/Q16892238,Henderson Peak,13121.0
http://www.wikidata.org/entity/Q15238659,Klondike Peak,13120.0
http://www.wikidata.org/entity/Q6660500,Lizard Head,13119.0
http://www.wikidata.org/entity/Q7847152,Truchas Peak,13108.0
http://www.wikidata.org/entity/Q30144894,Charybdis,13102.0
http://www.wikidata.org/entity/Q8025008,Winfield Peak,13084.0
http://www.wikidata.org/entity/Q6920134,Mount Chiquita,13075.0
http://www.wikidata.org/entity/Q16900358,South Downs Mountain,13068.0
http://www.wikidata.org/entity/Q1862168,Mount Dana,13061.0
http://www.wikidata.org/entity/Q6922043,Mount Mary Austin,13057.0
http://www.wikidata.org/entity/Q16892114,Harrower Peak,13057.0
http://www.wikidata.org/entity/Q14685165,West Elk Peak,13042.0
http://www.wikidata.org/entity/Q16903242,Mount Whitecap,13025.0
http://www.wikidata.org/entity/Q16845327,Bow Mountain,13025.0
http://www.wikidata.org/entity/Q6922227,Mount Moffit,13020.0
http://www.wikidata.org/entity/Q6920947,Mount Gould,13011.0
http://www.wikidata.org/entity/Q4922054,Black Tooth Mountain,13009.0
http://www.wikidata.org/entity/Q27300724,Rodgers Peak,12984.0
http://www.wikidata.org/entity/Q7698508,Temple Crag,12982.0
http://www.wikidata.org/entity/Q18391331,Mount Woolsey,12982.0
http://www.wikidata.org/entity/Q16901423,Temple Peak,12977.0
http://www.wikidata.org/entity/Q49028103,Engineer Mountain,12972.0
http://www.wikidata.org/entity/Q19462838,Koip Peak,12968.0
http://www.wikidata.org/entity/Q6923754,Mount Sopris,12965.0
http://www.wikidata.org/entity/Q7111274,Ouray Peak,12963.0
http://www.wikidata.org/entity/Q35724434,Arrow Peak,12962.0
http://www.wikidata.org/entity/Q14683160,Lone Pine Peak,12949.0
http://www.wikidata.org/entity/Q8530206,Mount Richthofen,12945.0
http://www.wikidata.org/entity/Q4856923,Banner Peak,12942.0
http://www.wikidata.org/entity/Q6921548,Mount Julian,12933.0
http://www.wikidata.org/entity/Q49052777,Mount Gardiner,12907.0
http://www.wikidata.org/entity/Q7304630,レッドマウンテン (ユアレイ郡),12896.0
http://www.wikidata.org/entity/Q6923271,ルート山,12887.0
