dataset_slug,dataset_name,metric_key,metric_name,unit,item_key,item_name,value
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q49025953,Dry Mountain,8678
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q8532609,Mahtotopa Mountain,8672
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q39070607,Fortress Mountain,8671
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q48773762,Mica Mountain,8668
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q5284003,Divide Mountain,8665
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q28604355,Loomis Peak,8658
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q4807833,Aspen Mountain,8657
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q7168497,Peril Peak,8651
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q5575277,Goat Haunt Mountain,8641
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q6920468,Mount Doody,8640
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q7258454,Pueblo Mountain,8639
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q16849682,Bush Mountain,8631
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q6923001,"Mount Pluto, California",8617
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q49039760,Jessen Butte,8613
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q43512,K2,8611
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q6806698,Medicine Butte,8610
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q6649806,Little Dog Mountain,8610
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q14713610,Clark Mountain,8602
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q21839568,Mongibello Mons,8600
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q4763852,Angora Peak,8588
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q82019,カンチェンジュンガ,8586
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q5611337,Grouse Mountain,8586
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q5267436,Devils Paw,8584
