dataset_slug,dataset_name,metric_key,metric_name,unit,item_key,item_name,value
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6922227,Mount Moffit,13020
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6920947,Mount Gould,13011
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q4922054,Black Tooth Mountain,13009
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q27300724,Rodgers Peak,12984
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7698508,Temple Crag,12982
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q18391331,Mount Woolsey,12982
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16901423,Temple Peak,12977
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q49028103,Engineer Mountain,12972
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q19462838,Koip Peak,12968
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6923754,Mount Sopris,12965
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7111274,Ouray Peak,12963
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q35724434,Arrow Peak,12962
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14683160,Lone Pine Peak,12949
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q8530206,Mount Richthofen,12945
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q4856923,Banner Peak,12942
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6921548,Mount Julian,12933
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q49052777,Mount Gardiner,12907
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7304630,レッドマウンテン (ユアレイ郡),12896
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6923271,ルート山,12887
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q20205278,Mount Ida,12865
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q49031600,Glacier Peak,12865
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q23950319,Lizard Head Peak,12847
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q19460967,Chief Cheley Peak,12815
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q5856002,Farallones del Citará,12800
